,value,unit,serialNumber
2020-10-14 00:42:39+00:00,29,%,00158D000192D255
2020-10-14 00:57:39+00:00,29,%,00158D000192D255
2020-10-14 01:10:38+00:00,33,%,00158D000192D255
2020-10-14 01:12:39+00:00,33,%,00158D000192D255
2020-10-14 01:27:39+00:00,33,%,00158D000192D255
2020-10-14 01:40:50+00:00,37,%,00158D000192D255
2020-10-14 01:42:39+00:00,37,%,00158D000192D255
2020-10-14 01:57:40+00:00,37,%,00158D000192D255
2020-10-14 02:12:40+00:00,37,%,00158D000192D255
2020-10-14 02:13:06+00:00,42,%,00158D000192D255
2020-10-14 02:27:40+00:00,42,%,00158D000192D255
2020-10-14 02:42:40+00:00,42,%,00158D000192D255
2020-10-14 02:51:25+00:00,47,%,00158D000192D255
2020-10-14 02:57:40+00:00,47,%,00158D000192D255
2020-10-14 03:11:32+00:00,43,%,00158D000192D255
2020-10-14 03:12:40+00:00,43,%,00158D000192D255
2020-10-14 03:17:35+00:00,36,%,00158D000192D255
2020-10-14 03:21:38+00:00,31,%,00158D000192D255
2020-10-14 03:23:38+00:00,27,%,00158D000192D255
2020-10-14 03:27:39+00:00,22,%,00158D000192D255
2020-10-14 03:27:40+00:00,22,%,00158D000192D255
2020-10-14 03:29:45+00:00,21,%,00158D000192D255
2020-10-14 03:31:46+00:00,16,%,00158D000192D255
2020-10-14 03:35:43+00:00,13,%,00158D000192D255
2020-10-14 03:39:50+00:00,9,%,00158D000192D255
2020-10-14 03:42:40+00:00,9,%,00158D000192D255
2020-10-14 03:43:50+00:00,5,%,00158D000192D255
2020-10-14 03:51:52+00:00,2,%,00158D000192D255
2020-10-14 03:57:40+00:00,2,%,00158D000192D255
2020-10-14 04:12:40+00:00,2,%,00158D000192D255
2020-10-14 04:27:40+00:00,2,%,00158D000192D255
2020-10-14 04:40:19+00:00,7,%,00158D000192D255
2020-10-14 04:42:40+00:00,7,%,00158D000192D255
2020-10-14 04:56:21+00:00,11,%,00158D000192D255
2020-10-14 04:57:40+00:00,11,%,00158D000192D255
2020-10-14 05:00:12+00:00,71,%,00158D000192D255
2020-10-14 05:10:32+00:00,67,%,00158D000192D255
2020-10-14 05:12:40+00:00,67,%,00158D000192D255
2020-10-14 05:16:33+00:00,63,%,00158D000192D255
2020-10-14 05:20:35+00:00,58,%,00158D000192D255
2020-10-14 05:26:39+00:00,54,%,00158D000192D255
2020-10-14 05:27:40+00:00,54,%,00158D000192D255
2020-10-14 05:32:40+00:00,50,%,00158D000192D255
2020-10-14 05:38:42+00:00,45,%,00158D000192D255
2020-10-14 05:42:40+00:00,45,%,00158D000192D255
2020-10-14 05:48:46+00:00,41,%,00158D000192D255
2020-10-14 05:56:54+00:00,36,%,00158D000192D255
2020-10-14 05:57:40+00:00,36,%,00158D000192D255
2020-10-14 06:09:00+00:00,31,%,00158D000192D255
2020-10-14 06:12:40+00:00,31,%,00158D000192D255
2020-10-14 06:19:04+00:00,27,%,00158D000192D255
2020-10-14 06:27:40+00:00,27,%,00158D000192D255
2020-10-14 06:33:11+00:00,24,%,00158D000192D255
2020-10-14 06:37:14+00:00,20,%,00158D000192D255
2020-10-14 06:39:14+00:00,21,%,00158D000192D255
2020-10-14 06:41:15+00:00,16,%,00158D000192D255
2020-10-14 06:42:40+00:00,16,%,00158D000192D255
2020-10-14 06:49:24+00:00,16,%,00158D000192D255
2020-10-14 06:52:40+00:00,16,%,00158D000192D255
2020-10-14 06:54:25+00:00,16,%,00158D000192D255
2020-10-14 06:57:10+00:00,16,%,00158D000192D255
2020-10-14 07:11:31+00:00,21,%,00158D000192D255
2020-10-14 07:12:10+00:00,21,%,00158D000192D255
2020-10-14 07:23:31+00:00,26,%,00158D000192D255
