,value,unit,serialNumber
2020-03-08 18:46:01+00:00,19,C,00158D000192D255
2020-03-08 19:01:01+00:00,19,C,00158D000192D255
2020-03-08 19:16:01+00:00,19,C,00158D000192D255
2020-03-08 19:31:01+00:00,19,C,00158D000192D255
2020-03-08 19:46:01+00:00,19,C,00158D000192D255
2020-03-08 20:01:01+00:00,19,C,00158D000192D255
2020-03-08 20:16:01+00:00,19,C,00158D000192D255
2020-03-08 20:31:01+00:00,19,C,00158D000192D255
2020-03-08 20:46:01+00:00,19,C,00158D000192D255
2020-03-08 21:01:01+00:00,19,C,00158D000192D255
2020-03-08 21:16:01+00:00,19,C,00158D000192D255
2020-03-08 21:31:01+00:00,19,C,00158D000192D255
2020-03-08 21:46:01+00:00,19,C,00158D000192D255
2020-03-08 22:01:01+00:00,19,C,00158D000192D255
2020-03-08 22:16:01+00:00,19,C,00158D000192D255
2020-03-08 22:31:01+00:00,19,C,00158D000192D255
2020-03-08 22:46:01+00:00,19,C,00158D000192D255
2020-03-08 23:01:01+00:00,19,C,00158D000192D255
2020-03-08 23:16:01+00:00,19,C,00158D000192D255
2020-03-08 23:31:01+00:00,19,C,00158D000192D255
2020-03-08 23:46:01+00:00,19,C,00158D000192D255
2020-03-09 00:01:01+00:00,19,C,00158D000192D255
2020-03-09 00:16:01+00:00,19,C,00158D000192D255
2020-03-09 00:31:01+00:00,19,C,00158D000192D255
2020-03-09 00:46:01+00:00,19,C,00158D000192D255
2020-03-09 01:01:01+00:00,19,C,00158D000192D255
2020-03-09 01:16:01+00:00,19,C,00158D000192D255
2020-03-09 01:31:01+00:00,19,C,00158D000192D255
2020-03-09 01:46:01+00:00,19,C,00158D000192D255
2020-03-09 02:01:01+00:00,19,C,00158D000192D255
2020-03-09 02:16:01+00:00,19,C,00158D000192D255
2020-03-09 02:31:01+00:00,19,C,00158D000192D255
2020-03-09 02:46:01+00:00,19,C,00158D000192D255
2020-03-09 03:01:01+00:00,19,C,00158D000192D255
2020-03-09 03:16:01+00:00,19,C,00158D000192D255
2020-03-09 03:31:01+00:00,19,C,00158D000192D255
2020-03-09 03:46:01+00:00,19,C,00158D000192D255
2020-03-09 04:01:01+00:00,19,C,00158D000192D255
2020-03-09 04:16:01+00:00,19,C,00158D000192D255
2020-03-09 04:31:01+00:00,19,C,00158D000192D255
2020-03-09 04:46:01+00:00,19,C,00158D000192D255
2020-03-09 05:01:01+00:00,19,C,00158D000192D255
2020-03-09 05:16:01+00:00,19,C,00158D000192D255
2020-03-09 05:31:01+00:00,19,C,00158D000192D255
2020-03-09 05:46:01+00:00,19,C,00158D000192D255
2020-03-09 06:00:10+00:00,22,C,00158D000192D255
2020-03-09 06:01:01+00:00,22,C,00158D000192D255
2020-03-09 06:16:01+00:00,22,C,00158D000192D255
2020-03-09 06:31:01+00:00,22,C,00158D000192D255
2020-03-09 06:46:01+00:00,22,C,00158D000192D255
2020-03-09 07:01:01+00:00,22,C,00158D000192D255
2020-03-09 07:16:01+00:00,22,C,00158D000192D255
2020-03-09 07:31:01+00:00,22,C,00158D000192D255
2020-03-09 07:46:01+00:00,22,C,00158D000192D255
2020-03-09 08:01:01+00:00,22,C,00158D000192D255
2020-03-09 08:16:01+00:00,22,C,00158D000192D255
2020-03-09 08:31:01+00:00,22,C,00158D000192D255
2020-03-09 08:46:01+00:00,22,C,00158D000192D255
2020-03-09 09:01:01+00:00,22,C,00158D000192D255
2020-03-09 09:16:01+00:00,22,C,00158D000192D255
2020-03-09 09:31:01+00:00,22,C,00158D000192D255
2020-03-09 09:46:01+00:00,22,C,00158D000192D255
2020-03-09 10:01:01+00:00,22,C,00158D000192D255
2020-03-09 10:16:01+00:00,22,C,00158D000192D255
2020-03-09 10:31:01+00:00,22,C,00158D000192D255
2020-03-09 10:46:01+00:00,22,C,00158D000192D255
2020-03-09 11:01:01+00:00,22,C,00158D000192D255
2020-03-09 11:16:01+00:00,22,C,00158D000192D255
2020-03-09 11:31:01+00:00,22,C,00158D000192D255
2020-03-09 11:46:01+00:00,22,C,00158D000192D255
2020-03-09 12:01:01+00:00,22,C,00158D000192D255
2020-03-09 12:16:01+00:00,22,C,00158D000192D255
2020-03-09 12:31:01+00:00,22,C,00158D000192D255
2020-03-09 12:46:01+00:00,22,C,00158D000192D255
2020-03-09 13:01:01+00:00,22,C,00158D000192D255
2020-03-09 13:16:01+00:00,22,C,00158D000192D255
2020-03-09 13:31:01+00:00,22,C,00158D000192D255
2020-03-09 13:46:01+00:00,22,C,00158D000192D255
2020-03-09 14:01:01+00:00,22,C,00158D000192D255
2020-03-09 14:16:01+00:00,22,C,00158D000192D255
2020-03-09 14:31:01+00:00,22,C,00158D000192D255
2020-03-09 14:46:01+00:00,22,C,00158D000192D255
2020-03-09 15:01:01+00:00,22,C,00158D000192D255
2020-03-09 15:16:01+00:00,22,C,00158D000192D255
2020-03-09 15:31:01+00:00,22,C,00158D000192D255
2020-03-09 15:46:01+00:00,22,C,00158D000192D255
2020-03-09 16:00:09+00:00,19,C,00158D000192D255
2020-03-09 16:20:35+00:00,19,C,00158D000192D255
2020-03-09 16:21:03+00:00,19,C,00158D000192D255
2020-03-09 16:30:48+00:00,19,C,00158D000192D255
2020-03-09 16:33:31+00:00,19,C,00158D000192D255
2020-03-09 16:34:17+00:00,19,C,00158D000192D255
2020-03-09 16:36:28+00:00,19,C,00158D000192D255
2020-03-09 16:44:45+00:00,19,C,00158D000192D255
2020-03-09 16:46:30+00:00,19,C,00158D000192D255
2020-03-09 16:47:40+00:00,19,C,00158D000192D255
2020-03-09 17:02:40+00:00,19,C,00158D000192D255
2020-03-09 17:17:40+00:00,19,C,00158D000192D255
2020-03-09 17:32:40+00:00,19,C,00158D000192D255
2020-03-09 17:47:40+00:00,19,C,00158D000192D255
2020-03-09 18:02:40+00:00,19,C,00158D000192D255
2020-03-09 18:17:40+00:00,19,C,00158D000192D255
2020-03-09 18:32:40+00:00,19,C,00158D000192D255
2020-03-09 18:47:40+00:00,19,C,00158D000192D255
2020-03-09 19:02:40+00:00,19,C,00158D000192D255
2020-03-09 19:17:40+00:00,19,C,00158D000192D255
2020-03-09 19:32:40+00:00,19,C,00158D000192D255
2020-03-09 19:47:40+00:00,19,C,00158D000192D255
2020-03-09 20:02:40+00:00,19,C,00158D000192D255
2020-03-09 20:17:40+00:00,19,C,00158D000192D255
2020-03-09 20:32:40+00:00,19,C,00158D000192D255
